file,line,col,code,rule
platform/devices/managing-devices.md,1,12,D-DOCTITLE,H17
platform/devices/device-detail.md,61,47,D-DOCTITLE,H17
platform/devices/devices-list.md,21,100,D-DOCTITLE,H17
platform/devices/devices-list.md,57,42,D-DOCTITLE,H17
platform/devices/installing-the-agent.md,103,195,D-DOCTITLE,H17
platform/devices/overview.md,43,57,D-DOCTITLE,H17
troubleshooting/device-not-connecting.md,116,49,D-DOCTITLE,H17
troubleshooting/plan-limit-reached.md,29,59,D-DOCTITLE,H17
platform/organizations/org-dashboard.md,26,34,D-LITERAL,H18
platform/devices/devices-list.md,3,151,D-LITERAL,H18
getting-started/dashboard-tour.md,24,108,D-LITERAL,H18
platform/devices/installing-the-agent.md,59,13,D-HOST,H05
platform/devices/installing-the-agent.md,97,28,D-HOST,H05
platform/devices/managing-devices.md,43,12,D-HOST,H05
platform/devices/overview.md,40,28,D-HOST,H05
troubleshooting/device-not-connecting.md,71,40,D-HOST,H05
troubleshooting/device-not-connecting.md,82,8,D-HOST,H05
troubleshooting/vplc-stuck-stopped.md,47,79,D-PLAIN,H02
troubleshooting/vplc-stuck-stopped.md,56,44,D-PLAIN,H02
troubleshooting/vplc-stuck-stopped.md,64,5,D-PLAIN,H02
troubleshooting/vplc-stuck-stopped.md,86,21,D-PLAIN,H02
getting-started/quick-start.md,26,249,O-SE,H11
getting-started/what-is-autonomy-edge.md,18,55,D-PROSE-NEW,H19
getting-started/what-is-autonomy-edge.md,20,25,D-PROSE-NEW,H19
