file,line,col,word,code,rule,decision,context
changelog-link.md,24,53,Device,X-HIST,H08,stays,"- **v1.2.3** (February 25, 2026): **Fixed** Add New Device modal layout on smaller screens."
index.md,19,6,Orchestrator,O-ENTITY,R05,changes,- **[Orchestrators](platform/orchestrators/overview)**: The cloud-managed agent that ru
index.md,19,30,orchestrator,O-PATH,R02,changes,- **[Orchestrators](platform/orchestrators/overview)**: The cloud-managed agent that runs on your edge device.
index.md,19,104,device,D-HOST,R15,stays,estrators/overview)**: The cloud-managed agent that runs on your edge device.
index.md,20,11,device,D-VPLC,R18,changes,- **[vPLC devices](platform/vplcs/overview)**: Virtual PLC containers that host your r
index.md,53,6,Orchestrator,O-ENTITY,R05,changes,- **[Orchestrator not connecting](troubleshooting/orchestrator-not-connecting)**
index.md,53,51,orchestrator,O-PATH,R02,changes,- **[Orchestrator not connecting](troubleshooting/orchestrator-not-connecting)**
openplc-editor/README.md,5,321,device,D-HOST,R15,stays,"write programs, configure variables, set up tasks, and deploy to your devices."
openplc-editor/README.md,14,153,Device,D-EDITORNODE,R17,stays,"ct tree: Functions, Function Blocks, Programs, Data Types, Resources, Devices, and Servers."
openplc-editor/README.md,36,91,device,D-EDITORNODE,R17,stays,uilding-deploying/deployment-vplc): Deploy your compiled program to a device.
openplc-editor/README.md,41,81,device,D-HOST,R15,stays,"cting to Runtimes**](connecting-to-runtimes): Connect the IDE to your devices, authenticate, and control program execution."
openplc-editor/README.md,50,17,orchestrator,O-EDGEDEV,R04,changes,2. At least one orchestrator registered with an active device. See [Managing Device Status](../pla
openplc-editor/README.md,50,56,device,D-EDITORNODE,R17,stays,2. At least one orchestrator registered with an active device. See [Managing Device Status](../platform/vplcs/vplc-detail) for setu
openplc-editor/README.md,50,78,Device,D-EDITORNODE,R17,stays,east one orchestrator registered with an active device. See [Managing Device Status](../platform/vplcs/vplc-detail) for setup instructions.
openplc-editor/connecting-to-runtimes.md,5,47,Device,O-EDGEDEV,R09,changes,"When you're ready to run on a vPLC, use the **Device Orchestrators** screen to pick one and connect. This page walks throu"
openplc-editor/connecting-to-runtimes.md,5,54,Orchestrator,O-EDGEDEV,R04,changes,"When you're ready to run on a vPLC, use the **Device Orchestrators** screen to pick one and connect. This page walks through that flow:"
openplc-editor/connecting-to-runtimes.md,7,28,orchestrator,O-EDGEDEV,R04,changes,"> If you don't yet have an orchestrator or a vPLC, see **[Orchestrators](../platform/orchestrators/overview)*"
openplc-editor/connecting-to-runtimes.md,7,59,Orchestrator,O-EDGEDEV,R04,changes,"> If you don't yet have an orchestrator or a vPLC, see **[Orchestrators](../platform/orchestrators/overview)** and **[Creating a vPLC](../pl"
openplc-editor/connecting-to-runtimes.md,7,86,orchestrator,O-PATH,R02,changes,"yet have an orchestrator or a vPLC, see **[Orchestrators](../platform/orchestrators/overview)** and **[Creating a vPLC](../platform/vplcs/creating-a-vpl"
openplc-editor/connecting-to-runtimes.md,9,13,Orchestrator,O-EDGEDEV,R04,changes,## Open the Orchestrators screen
openplc-editor/connecting-to-runtimes.md,11,31,Device,D-EDITORNODE,R17,stays,"In the project tree, expand **Device** and click **Orchestrators**. The Orchestrators editor opens as a ta"
openplc-editor/connecting-to-runtimes.md,11,52,Orchestrator,O-EDGEDEV,R04,changes,"In the project tree, expand **Device** and click **Orchestrators**. The Orchestrators editor opens as a tab in the central editing ar"
openplc-editor/connecting-to-runtimes.md,11,73,Orchestrator,O-EDGEDEV,R04,changes,"the project tree, expand **Device** and click **Orchestrators**. The Orchestrators editor opens as a tab in the central editing area."
openplc-editor/connecting-to-runtimes.md,13,3,Device,O-EDGEDEV,R09,changes,![Device Orchestrators screen with OpenPLC Simulator selected by default at th
openplc-editor/connecting-to-runtimes.md,13,10,Orchestrator,O-EDGEDEV,R04,changes,"![Device Orchestrators screen with OpenPLC Simulator selected by default at the top, follow"
openplc-editor/connecting-to-runtimes.md,13,120,orchestrator,O-EDGEDEV,R04,changes,"tor selected by default at the top, followed by the user's registered orchestrators as expandable cards](images/orchestrators-screen.png)"
openplc-editor/connecting-to-runtimes.md,13,162,orchestrator,O-PATH,R02,changes,ed by the user's registered orchestrators as expandable cards](images/orchestrators-screen.png)
openplc-editor/connecting-to-runtimes.md,17,47,orchestrator,O-EDGEDEV,R04,changes,"Below the Simulator, each card represents one orchestrator: its name, its online status, and a chevron to expand the list of vPL"
openplc-editor/connecting-to-runtimes.md,21,12,orchestrator,O-EDGEDEV,R04,changes,"Expand the orchestrator. The vPLCs running on it appear as child rows, each with its name and"
openplc-editor/connecting-to-runtimes.md,23,3,Device,O-EDGEDEV,R09,changes,"![Device Orchestrators screen with SLM-RP4 expanded, showing vPLC 01 with a gr"
openplc-editor/connecting-to-runtimes.md,23,10,Orchestrator,O-EDGEDEV,R04,changes,"![Device Orchestrators screen with SLM-RP4 expanded, showing vPLC 01 with a green Running s"
openplc-editor/connecting-to-runtimes.md,23,106,orchestrator,O-PATH,R02,changes,"SLM-RP4 expanded, showing vPLC 01 with a green Running status](images/orchestrators-expanded.png)"
openplc-editor/connecting-to-runtimes.md,27,63,orchestrator,O-EDGEDEV,R04,changes,"![vPLC 01 selected, with the Connect button visible below the orchestrator cards](images/orchestrators-vplc-selected.png)"
openplc-editor/connecting-to-runtimes.md,27,90,orchestrator,O-PATH,R02,changes,with the Connect button visible below the orchestrator cards](images/orchestrators-vplc-selected.png)
openplc-editor/connecting-to-runtimes.md,47,7,orchestrator,O-EDGEDEV,R04,changes,- The orchestrator card now shows the vPLC with a **Connected** status badge.
openplc-editor/connecting-to-runtimes.md,49,5,Orchestrator,O-EDGEDEV,R04,changes,![Orchestrators editor showing a vPLC with the Connected status badge](images/vplc-c
openplc-editor/connecting-to-runtimes.md,55,7,Orchestrator,O-EDGEDEV,R04,changes,"- The Orchestrators card shows live runtime stats (CPU, memory, uptime) for the connecte"
openplc-editor/connecting-to-runtimes.md,65,76,Orchestrator,O-EDGEDEV,R04,changes,on't refresh anything by hand. Updates land in the console and on the Orchestrators card automatically.
openplc-editor/connecting-to-runtimes.md,69,25,Orchestrator,O-EDGEDEV,R04,changes,"Click **Logout** in the Orchestrators card. The vPLC keeps running, disconnecting only ends your editor's"
openplc-editor/connecting-to-runtimes.md,73,7,Orchestrator,O-EDGEDEV,R04,changes,**The Orchestrators screen is empty.**
openplc-editor/connecting-to-runtimes.md,74,12,orchestrator,O-EDGEDEV,R04,changes,Verify the orchestrator is online in the platform dashboard. The card only appears if the pla
openplc-editor/connecting-to-runtimes.md,83,63,orchestrator,O-EDGEDEV,R04,changes,"The connection may have dropped during the build. Confirm the orchestrator is still online, then retry. The console will carry the specific tran"
openplc-editor/overview.md,17,98,orchestrator,O-EDGEDEV,R04,changes,"er with the **built-in Simulator**, or connect to a real vPLC on an **orchestrator**, deploy your build, and watch live variable values in the **debugge"
openplc-editor/overview.md,40,116,device,D-EDITORNODE,R17,stays,"imes)** is how you get from ""I wrote a program"" to ""it's running on a device""."
